                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9259,                 3.9855,                 4.1592,                0.00096,                0.03946,                0.00065,                0.00022,                 3.6982,                 4.7974,                 4.2111,             0.00036245,             0.00036245,             0.00036245
                      2,                 3.2039,                 3.1001,                 3.5492,                0.00115,                  0.047,                0.00081,                0.00026,                 3.7673,                  5.108,                 4.3669,             0.00070861,             0.00070861,             0.00070861
                      3,                 2.8213,                 2.6553,                 2.9699,                0.71618,                0.05636,                0.06994,                 0.0269,                 2.9655,                 3.1366,                 3.4004,              0.0010303,              0.0010303,              0.0010303
                      4,                 2.5217,                 2.3718,                 2.6174,                0.45992,                  0.188,                0.13931,                0.04811,                 2.5573,                 2.9663,                 2.8809,               0.001001,               0.001001,               0.001001
                      5,                 2.3718,                 2.1964,                  2.401,                0.71101,                0.17845,                0.19533,                0.08677,                 2.2268,                 2.4699,                 2.4985,               0.001001,               0.001001,               0.001001
                      6,                 2.1433,                 1.9378,                 2.1713,                0.53834,                0.19536,                 0.2267,                0.10699,                 2.1063,                 2.3269,                 2.3433,             0.00096435,             0.00096435,             0.00096435
                      7,                 2.0417,                 1.8532,                 2.0972,                0.58287,                0.23602,                0.26626,                0.12901,                 2.0569,                 2.0684,                 2.2634,             0.00092769,             0.00092769,             0.00092769
                      8,                  1.896,                 1.6964,                 1.9522,                0.55465,                0.25503,                 0.3069,                 0.1556,                 1.9653,                 1.9821,                 2.1884,             0.00089102,             0.00089102,             0.00089102
                      9,                 1.8017,                 1.5639,                 1.8343,                 0.5788,                0.24566,                0.29543,                 0.1695,                 1.8482,                 1.8763,                 2.0849,             0.00085436,             0.00085436,             0.00085436
                     10,                 1.7514,                 1.5166,                 1.7836,                0.47025,                0.29187,                0.34401,                0.19801,                 1.7615,                 1.7547,                 1.9901,              0.0008177,              0.0008177,              0.0008177
